method,trial,bin,n_bin,coverage,mean_width
cqr,14,4,39746,0.8694963015146179,3.1050910778159113
abs,15,0,39762,0.9990694633066747,2.3166272598614692
abs,15,1,40146,0.99098291236985,2.3166272598614697
abs,15,2,40171,0.9391849841925768,2.3166272598614692
abs,15,3,40175,0.843136278780336,2.3166272598614692
abs,15,4,39746,0.7349922004730036,2.3166272598614692
norm,15,0,39762,0.9322971681504955,0.8935676475464712
norm,15,1,40146,0.8880336770786629,1.3801532155208733
norm,15,2,40171,0.9116526847725972,2.1696310928542557
norm,15,3,40175,0.9022277535780958,2.773793544648349
norm,15,4,39746,0.8916872138076788,3.53918606646045
cqr,15,0,39762,0.9525174790000503,1.001928472917537
cqr,15,1,40146,0.914188213022468,1.4959256351540646
cqr,15,2,40171,0.9141420427671704,2.129000712789692
cqr,15,3,40175,0.8828873677660236,2.579172282984139
cqr,15,4,39746,0.872792230664721,3.134360672726736
abs,16,0,39762,0.9993461093506363,2.499970325752919
abs,16,1,40146,0.9944950929108753,2.499970325752919
abs,16,2,40171,0.9572079360732867,2.499970325752919
abs,16,3,40175,0.8730304915992533,2.499970325752919
abs,16,4,39746,0.7711971015951291,2.499970325752919
norm,16,0,39762,0.9342839897389468,0.9018193617941405
norm,16,1,40146,0.8911971304737707,1.3928983389413
norm,16,2,40171,0.914540340046302,2.189666706106648
norm,16,3,40175,0.9052644679527069,2.799408339202868
norm,16,4,39746,0.8945051074321945,3.571868932911526
cqr,16,0,39762,0.9560635782908304,1.0180819828968823
cqr,16,1,40146,0.9176505753997908,1.5120791451334101
cqr,16,2,40171,0.9163077842224491,2.1451542227690377
cqr,16,3,40175,0.8854760423148724,2.595325792963484
cqr,16,4,39746,0.8746540532380617,3.150514182706082
abs,17,0,39762,0.9990443136663145,2.268769347150795
abs,17,1,40146,0.9894136402132218,2.268769347150795
abs,17,2,40171,0.9336337158646785,2.268769347150795
abs,17,3,40175,0.834673304293715,2.268769347150795
abs,17,4,39746,0.7246263774971067,2.268769347150795
norm,17,0,39762,0.9136864342839898,0.8339027485025717
norm,17,1,40146,0.864046231255916,1.2879982427045777
norm,17,2,40171,0.8916382464962286,2.0247614565451344
norm,17,3,40175,0.8772121966397013,2.5885830435022044
norm,17,4,39746,0.8670306445931666,3.3028691184008947
cqr,17,0,39762,0.9185151652331371,0.891341973054307
cqr,17,1,40146,0.8865391321675883,1.3853391352908344
cqr,17,2,40171,0.8958701550870031,2.018414212926462
cqr,17,3,40175,0.865687616677038,2.468585783120909
cqr,17,4,39746,0.8592814371257484,3.0237741728635066
abs,18,0,39762,0.9990694633066747,2.3267816524951064
abs,18,1,40146,0.9911572759428088,2.3267816524951064
abs,18,2,40171,0.9405292375096462,2.3267816524951064
abs,18,3,40175,0.8450280024891101,2.3267816524951064
abs,18,4,39746,0.7374830171589594,2.3267816524951064
norm,18,0,39762,0.9295558573512399,0.8846950965212217
norm,18,1,40146,0.8849200418472575,1.3664491833068664
norm,18,2,40171,0.9088148166587837,2.148088053969428
norm,18,3,40175,0.8981953951462353,2.7462515618718064
norm,18,4,39746,0.8882403260705479,3.5040442290755087
cqr,18,0,39762,0.9545294502288617,1.0114644984225905
cqr,18,1,40146,0.9161809395705675,1.505461660659118
cqr,18,2,40171,0.9155360832441314,2.138536738294746
cqr,18,3,40175,0.8843310516490355,2.5887083084891924
cqr,18,4,39746,0.8736979821868868,3.14389669823179
abs,19,0,39762,0.9990946129470348,2.3485153187032397
abs,19,1,40146,0.9916554575798336,2.3485153187032397
abs,19,2,40171,0.9430434890841652,2.3485153187032397
abs,19,3,40175,0.8489359054138146,2.3485153187032397
abs,19,4,39746,0.742338851708348,2.3485153187032397
norm,19,0,39762,0.9272672400784668,0.8759543772616241
norm,19,1,40146,0.8819309520251084,1.3529487708588301
norm,19,2,40171,0.9060267357048617,2.126865109817853
norm,19,3,40175,0.8950591163658992,2.7191188084373836
norm,19,4,39746,0.8844663613948573,3.4694245425869132
cqr,19,0,39762,0.938207333635129,0.9501328095612508
cqr,19,1,40146,0.9016091266875903,1.4441299717977785
cqr,19,2,40171,0.9062009907644818,2.077205049433406
cqr,19,3,40175,0.8753702551337896,2.5273766196278524
cqr,19,4,39746,0.8664771297740653,3.0825650093704504
