method,trial,bin,n_bin,coverage,mean_width
norm,61,4,39746,0.882579379057012,3.447752737753866
cqr,61,0,39762,0.9206780343041094,0.8967996666166628
cqr,61,1,40146,0.8879589498331092,1.3907968288531904
cqr,61,2,40171,0.8970152597645067,2.023871906488818
cqr,61,3,40175,0.8665339141257,2.474043476683265
cqr,61,4,39746,0.8599859105318775,3.0292318664258624
abs,62,0,39762,0.9990946129470348,2.3390441920567016
abs,62,1,40146,0.9914810940068749,2.3390441920567016
abs,62,2,40171,0.9419979587264444,2.3390441920567016
abs,62,3,40175,0.8472433105164904,2.3390441920567016
abs,62,4,39746,0.7402002717254567,2.3390441920567016
norm,62,0,39762,0.9356420703183944,0.906858125778628
norm,62,1,40146,0.8928411298759528,1.4006809241037506
norm,62,2,40171,0.9160837420029374,2.2019011004922504
norm,62,3,40175,0.907255756067206,2.8150495623957106
norm,62,4,39746,0.8962159714185075,3.5918261497322637
cqr,62,0,39762,0.964614456013279,1.0577421442565864
cqr,62,1,40146,0.9261694813929159,1.551739306493114
cqr,62,2,40171,0.9216599039107815,2.184814384128742
cqr,62,3,40175,0.8911512134411947,2.634985954323188
cqr,62,4,39746,0.8789312132038444,3.190174344065786
abs,63,0,39762,0.9990946129470348,2.34895957964958
abs,63,1,40146,0.9916554575798336,2.3489595796495806
abs,63,2,40171,0.9430932762440567,2.3489595796495806
abs,63,3,40175,0.8490354698195395,2.3489595796495806
abs,63,4,39746,0.7424143310018618,2.3489595796495806
norm,63,0,39762,0.9125295508274232,0.8303550885551162
norm,63,1,40146,0.8630996861455686,1.28251873111136
norm,63,2,40171,0.890493141818725,2.0161475442688697
norm,63,3,40175,0.8755942750466709,2.5775704735105758
norm,63,4,39746,0.8653701001358627,3.2888177718810754
cqr,63,0,39762,0.9395654142145767,0.9546929832371358
cqr,63,1,40146,0.9029542171075574,1.4486901454736634
cqr,63,2,40171,0.9070224789026909,2.0817652231092914
cqr,63,3,40175,0.8760174237710019,2.5319367933037378
cqr,63,4,39746,0.8671816031801942,3.0871251830463358
abs,64,0,39762,0.999295810069916,2.464582767552135
abs,64,1,40146,0.9940218203557016,2.464582767552135
abs,64,2,40171,0.9540464514201787,2.464582767552135
abs,64,3,40175,0.8682265090230242,2.464582767552135
abs,64,4,39746,0.7646052432949227,2.464582767552135
norm,64,0,39762,0.9329510587998592,0.8957688084567696
norm,64,1,40146,0.8888058586160514,1.3835530021140523
norm,64,2,40171,0.9126733215503722,2.1749756318653444
norm,64,3,40175,0.9030242688238954,2.7806263411808576
norm,64,4,39746,0.8922658883912846,3.5479042849917004
cqr,64,0,39762,0.9499522156833158,0.9906913306509448
cqr,64,1,40146,0.9113485776914263,1.4846884928874724
cqr,64,2,40171,0.9121505563715118,2.1177635705231004
cqr,64,3,40175,0.8812943372744244,2.5679351407175464
cqr,64,4,39746,0.8712574850299402,3.1231235304601443
abs,65,0,39762,0.9990694633066747,2.299661913032423
abs,65,1,40146,0.9905096398146764,2.299661913032423
abs,65,2,40171,0.9372432849568096,2.299661913032423
abs,65,3,40175,0.8404231487243311,2.2996619130324225
abs,65,4,39746,0.7311930760328084,2.299661913032423
norm,65,0,39762,0.9209295307077109,0.8551808274590091
norm,65,1,40146,0.8732625915408758,1.3208631401440378
norm,65,2,40171,0.8997535535585373,2.0764257953636385
norm,65,3,40175,0.8866957062850032,2.6546340002640583
norm,65,4,39746,0.8760630000503196,3.387145984030983
cqr,65,0,39762,0.9261858055429807,0.9123872742737287
cqr,65,1,40146,0.8920938574204155,1.4063844365102562
cqr,65,2,40171,0.8996788728187001,2.0394595141458836
cqr,65,3,40175,0.8690479153702552,2.489631084340331
cqr,65,4,39746,0.8617470940471997,3.0448194740829284
abs,66,0,39762,0.9991449122277551,2.39148728252058
abs,66,1,40146,0.9926020026901808,2.39148728252058
abs,66,2,40171,0.9471260361952653,2.39148728252058
abs,66,3,40175,0.855980087118855,2.39148728252058
abs,66,4,39746,0.7507422130528858,2.39148728252058
norm,66,0,39762,0.9221618630853579,0.8588022307203703
norm,66,1,40146,0.8746824092063966,1.3264565514202726
norm,66,2,40171,0.9008239774962037,2.0852187604370567
norm,66,3,40175,0.8882887367766024,2.665875482670581
norm,66,4,39746,0.8775474261560912,3.4014894083915617
cqr,66,0,39762,0.9427091192595946,0.9654505689641114
cqr,66,1,40146,0.9058187615204504,1.459447731200639
cqr,66,2,40171,0.9082920514799233,2.0925228088362666
cqr,66,3,40175,0.877909147479776,2.5426943790307135
cqr,66,4,39746,0.8687666683439843,3.0978827687733106
abs,67,0,39762,0.9989940143855943,2.255060984735429
abs,67,1,40146,0.9888158222487919,2.255060984735429
abs,67,2,40171,0.9316671230489657,2.2550609847354295
abs,67,3,40175,0.8322588674548849,2.255060984735429
abs,67,4,39746,0.721934282695114,2.255060984735429
norm,67,0,39762,0.9209295307077109,0.8552984640615943
norm,67,1,40146,0.8732875006227271,1.3210448348772414
norm,67,2,40171,0.8997535535585373,2.0767114234650212
norm,67,3,40175,0.8866957062850032,2.654999165285151
norm,67,4,39746,0.8761636391083379,3.3876119116257413
cqr,67,0,39762,0.9486192847442282,0.9859878115863303
cqr,67,1,40146,0.9100034872714592,1.479984973822858
cqr,67,2,40171,0.9113788553931941,2.113060051458486
cqr,67,3,40175,0.8806969508400747,2.5632316216529323
cqr,67,4,39746,0.8709555678558849,3.11842001139553
abs,68,0,39762,0.9989940143855943,2.2477993206783573
abs,68,1,40146,0.9886663677576845,2.2477993206783573
abs,68,2,40171,0.9307460605909735,2.2477993206783573
abs,68,3,40175,0.830815183571873,2.2477993206783573
abs,68,4,39746,0.7203240577668193,2.2477993206783573
norm,68,0,39762,0.9196217494089834,0.8517772807598528
norm,68,1,40146,0.8719673192846111,1.3156062175888017
norm,68,2,40171,0.8984590874013592,2.06816179793183
norm,68,3,40175,0.8852520224019913,2.6440687835298227
norm,68,4,39746,0.8747043727670709,3.3736654321250628
cqr,68,0,39762,0.9339570444142649,0.9365635119791538
cqr,68,1,40146,0.8980720370647138,1.4305606742156813
cqr,68,2,40171,0.9037863135097458,2.0636357518513093
cqr,68,3,40175,0.873204729309272,2.5138073220457557
cqr,68,4,39746,0.8648920646102752,3.0689957117883533
abs,69,0,39762,0.9990191640259545,2.2636347993847252
abs,69,1,40146,0.9891645493947093,2.2636347993847252
abs,69,2,40171,0.9328620148863608,2.2636347993847257
abs,69,3,40175,0.8340510267579341,2.2636347993847252
abs,69,4,39746,0.7235445076234086,2.2636347993847252
norm,69,0,39762,0.9357678185201952,0.9072184673965298
norm,69,1,40146,0.892965675285209,1.4012374870500466
norm,69,2,40171,0.916208209902666,2.2027760296376777
norm,69,3,40175,0.9073802115743622,2.816168127124804
norm,69,4,39746,0.8962662909475168,3.5932533679588246
cqr,69,0,39762,0.944016900558322,0.9696130407321605
cqr,69,1,40146,0.9069396702037563,1.4636102029686882
cqr,69,2,40171,0.9089641781384581,2.0966852806043157
cqr,69,3,40175,0.8784069695084007,2.5468568507987626
cqr,69,4,39746,0.8691189050470488,3.10204524054136
abs,70,0,39762,0.9989940143855943,2.2467439768526276
abs,70,1,40146,0.9886165495939819,2.2467439768526276
abs,70,2,40171,0.9306713798511363,2.2467439768526276
abs,70,3,40175,0.8305911636589919,2.2467439768526276
abs,70,4,39746,0.7200724601217733,2.2467439768526276
norm,70,0,39762,0.9333786026859816,0.8978568861785192
norm,70,1,40146,0.8895282219897375,1.3867781269155637
norm,70,2,40171,0.9131711931492869,2.1800455987132294
norm,70,3,40175,0.9039950217797138,2.787108107302556
norm,70,4,39746,0.8931213203844413,3.5561746108017194
cqr,70,0,39762,0.9408731955133042,0.9593307260545715
cqr,70,1,40146,0.9041000348727146,1.4533278882910992
cqr,70,2,40171,0.9074207761818227,2.0864029659267267
cqr,70,3,40175,0.8768388301182327,2.5365745361211736
cqr,70,4,39746,0.8678105972928093,3.0917629258637715
abs,71,0,39762,0.9991700618681153,2.4135696434272633
abs,71,1,40146,0.9930005479998008,2.4135696434272633
abs,71,2,40171,0.9489681611112494,2.4135696434272633
abs,71,3,40175,0.8593901680149346,2.4135696434272633
abs,71,4,39746,0.7547677753736225,2.4135696434272633
norm,71,0,39762,0.9249283235249736,0.8688069353124123
norm,71,1,40146,0.8789667712848105,1.3419092429439163
norm,71,2,40171,0.9037116327699086,2.109510730068363
norm,71,3,40175,0.8923210952084629,2.6969318722900106
norm,71,4,39746,0.8816484677703417,3.4411154078202935
cqr,71,0,39762,0.955812081887229,1.0172950572971065
cqr,71,1,40146,0.9176007572360882,1.5112922195336338
cqr,71,2,40171,0.9162331034826119,2.1443672971692616
cqr,71,3,40175,0.8853018046048537,2.5945388673637084
cqr,71,4,39746,0.874503094651034,3.149727257106306
abs,72,0,39762,0.9990443136663145,2.2710424983006554
abs,72,1,40146,0.9895132765406267,2.2710424983006554
abs,72,2,40171,0.9339822259839188,2.2710424983006554
abs,72,3,40175,0.8353204729309271,2.2710424983006554
abs,72,4,39746,0.7251547325517033,2.2710424983006554
norm,72,0,39762,0.9230421004979629,0.8620203170175492
norm,72,1,40146,0.8762018631993225,1.3314270225010805
norm,72,2,40171,0.901819720694033,2.0930324498751407
norm,72,3,40175,0.8896328562538892,2.6758649971989388
norm,72,4,39746,0.8789815327328536,3.4142354004996207
cqr,72,0,39762,0.9187163623560183,0.8921576989050266
cqr,72,1,40146,0.886713495740547,1.3861548611415544
cqr,72,2,40171,0.8960195165666774,2.019229938777182
cqr,72,3,40175,0.8658369632856254,2.469401508971629
cqr,72,4,39746,0.8594323957127761,3.0245898987142255
abs,73,0,39762,0.9990191640259545,2.2643547032523266
abs,73,1,40146,0.989239276640263,2.2643547032523266
abs,73,2,40171,0.9329615892061437,2.2643547032523266
abs,73,3,40175,0.8341257000622277,2.264354703252326
abs,73,4,39746,0.7236954662104362,2.2643547032523266
norm,73,0,39762,0.9340576429757055,0.9010527823868896
norm,73,1,40146,0.8907985851641509,1.3917143244609478
norm,73,2,40171,0.9142416170869533,2.1878054094027224
norm,73,3,40175,0.9049657747355321,2.797028739832712
norm,73,4,39746,0.8942283500226438,3.5688327138133675
cqr,73,0,39762,0.9310396861324883,0.9278988483572811
cqr,73,1,40146,0.8961540377621681,1.4218960105938085
cqr,73,2,40171,0.9022678051330562,2.0549710882294363
cqr,73,3,40175,0.8717361543248289,2.505142658423883
cqr,73,4,39746,0.8639359935591003,3.060331048166481
abs,74,0,39762,0.9990694633066747,2.3240040516383944
abs,74,1,40146,0.9910576396154038,2.3240040516383944
abs,74,2,40171,0.940180727390406,2.3240040516383944
abs,74,3,40175,0.8446048537647791,2.3240040516383944
abs,74,4,39746,0.7369546621043627,2.3240040516383944
norm,74,0,39762,0.9293043609476385,0.883793464481845
norm,74,1,40146,0.8846958601105963,1.3650565742953615
norm,74,2,40171,0.9085658808593263,2.145898842092391
norm,74,3,40175,0.8977971375233355,2.7434527350148383
norm,74,4,39746,0.8877371307804559,3.500473102077347
cqr,74,0,39762,0.9394396660127761,0.9541678645875898
cqr,74,1,40146,0.9027798535345987,1.4481650268241175
cqr,74,2,40171,0.9068482238430708,2.081240104459745
cqr,74,3,40175,0.8758929682638457,2.531411674654192
cqr,74,4,39746,0.8671061238866804,3.0866000643967895
abs,75,0,39762,0.9990946129470348,2.358324552519062
abs,75,1,40146,0.9918298211527923,2.3583245525190617
abs,75,2,40171,0.9441139130218317,2.358324552519062
abs,75,3,40175,0.8504044803982577,2.358324552519062
abs,75,4,39746,0.7442761535752025,2.358324552519062
norm,75,0,39762,0.9311402846939288,0.8896831299313426
norm,75,1,40146,0.8865640412494395,1.374153412940746
norm,75,2,40171,0.9105075800950935,2.1601992717474094
norm,75,3,40175,0.9004853764779092,2.7617353083027263
norm,75,4,39746,0.8900518291148795,3.5238005154547336
cqr,75,0,39762,0.9506312559730395,0.9938355675363844
cqr,75,1,40146,0.9121207592288149,1.487832729772912
cqr,75,2,40171,0.9127231087102636,2.1209078074085395
cqr,75,3,40175,0.8819912881144991,2.571079377602986
cqr,75,4,39746,0.871710360791023,3.1262677673455834
abs,76,0,39762,0.9990946129470348,2.37780468385976
abs,76,1,40146,0.9922532755442635,2.37780468385976
abs,76,2,40171,0.9458315700380872,2.37780468385976
abs,76,3,40175,0.8535905413814562,2.37780468385976
abs,76,4,39746,0.7479997987218839,2.37780468385976
norm,76,0,39762,0.9347869825461496,0.9032437250875829
norm,76,1,40146,0.8918198575200518,1.395098328595035
norm,76,2,40171,0.9148639565855966,2.1931251380423373
norm,76,3,40175,0.9058369632856254,2.803829817217915
norm,76,4,39746,0.8949076636642681,3.577510460708074
cqr,76,0,39762,0.9455510286202907,0.9742453891240704
cqr,76,1,40146,0.9077865789866986,1.468242551360598
cqr,76,2,40171,0.9097856662766672,2.1013176289962257
cqr,76,3,40175,0.8790043559427505,2.551489199190672
cqr,76,4,39746,0.8695969405726363,3.1066775889332696
abs,77,0,39762,0.9989688647452342,2.2358841762468704
abs,77,1,40146,0.9884421860210233,2.2358841762468704
abs,77,2,40171,0.9294018072739041,2.235884176246871
abs,77,3,40175,0.8279775980087118,2.2358841762468704
abs,77,4,39746,0.7177074422583405,2.23588417624687
norm,77,0,39762,0.9161007997585634,0.8420397749572471
norm,77,1,40146,0.8677825935336023,1.3005662259535626
norm,77,2,40171,0.8949241990490653,2.0445186015670203
norm,77,3,40175,0.8809458618543871,2.613841826667177
norm,77,4,39746,0.8705278518593066,3.335097736715223
cqr,77,0,39762,0.9115738644937378,0.8743726720523327
cqr,77,1,40146,0.8818313156977033,1.3683698342888602
cqr,77,2,40171,0.8929576062333524,2.0014449119244877
cqr,77,3,40175,0.862775357809583,2.451616482118935
cqr,77,4,39746,0.8568660997333065,3.0068048718615326
abs,78,0,39762,0.9990946129470348,2.340762950416633
abs,78,1,40146,0.9915309121705774,2.340762950416633
abs,78,2,40171,0.9421722137860645,2.3407629504166336
abs,78,3,40175,0.8475668948350965,2.340762950416633
abs,78,4,39746,0.7405273486640165,2.340762950416633
norm,78,0,39762,0.9342085408178663,0.9014210855962385
norm,78,1,40146,0.8910476759826633,1.392283184423666
norm,78,2,40171,0.9144407657265191,2.188699669727383
norm,78,3,40175,0.905065339141257,2.7981720187633785
norm,78,4,39746,0.8943541488451668,3.5702914658063913
cqr,78,0,39762,0.944192948040843,0.9704990663996232
cqr,78,1,40146,0.9071887610222688,1.464496228636151
cqr,78,2,40171,0.9090886460381867,2.0975713062717785
cqr,78,3,40175,0.8784069695084007,2.5477428764662253
cqr,78,4,39746,0.8692195441050672,3.102931266208823
abs,79,0,39762,0.9990694633066747,2.315458364644158
abs,79,1,40146,0.99098291236985,2.315458364644158
abs,79,2,40171,0.939060516292848,2.315458364644158
abs,79,3,40175,0.8429371499688861,2.315458364644158
abs,79,4,39746,0.7347657625924622,2.315458364644158
norm,79,0,39762,0.9301845983602435,0.886608847622901
norm,79,1,40146,0.8855676779753898,1.3694050532333817
norm,79,2,40171,0.9093624754175899,2.152734746254661
norm,79,3,40175,0.8990416925948973,2.752192187034857
norm,79,4,39746,0.8890454385346953,3.511624093064916
cqr,79,0,39762,0.9394145163724159,0.9541270259847011
cqr,79,1,40146,0.9027798535345987,1.4481241882212286
cqr,79,2,40171,0.9068482238430708,2.0811992658568563
cqr,79,3,40175,0.8758929682638457,2.531370836051303
cqr,79,4,39746,0.8671061238866804,3.0865592257939007
abs,80,0,39762,0.9990946129470348,2.3407690211731667
abs,80,1,40146,0.9915309121705774,2.3407690211731667
abs,80,2,40171,0.9421722137860645,2.3407690211731667
abs,80,3,40175,0.8475668948350965,2.3407690211731667
abs,80,4,39746,0.7405273486640165,2.3407690211731667
norm,80,0,39762,0.9336803983703033,0.8996766952425815
norm,80,1,40146,0.8903253126089772,1.3895888993716796
norm,80,2,40171,0.9136690647482014,2.1844641945960253
norm,80,3,40175,0.9044928438083385,2.7927571196053735
norm,80,4,39746,0.8938257937905701,3.5633823951265358
cqr,80,0,39762,0.9536240631758965,1.0073088439083702
cqr,80,1,40146,0.9153340307876252,1.5013060061448977
cqr,80,2,40171,0.9149137437454881,2.1343810837805255
cqr,80,3,40175,0.883758556316117,2.5845526539749715
cqr,80,4,39746,0.8734463845418406,3.1397410437175695
abs,81,0,39762,0.9991449122277551,2.402747053355566
abs,81,1,40146,0.9928012753449907,2.402747053355566
abs,81,2,40171,0.9481964601329317,2.402747053355566
abs,81,3,40175,0.8578967019290603,2.402747053355566
abs,81,4,39746,0.7527549942132542,2.402747053355566
norm,81,0,39762,0.9360696142045168,0.9092189918909581
norm,81,1,40146,0.8935385841677875,1.404327382170237
norm,81,2,40171,0.9167558686614722,2.207633412463753
norm,81,3,40175,0.9081518357187306,2.822378112394294
norm,81,4,39746,0.8968952850601318,3.601176918498882
cqr,81,0,39762,0.960213268950254,1.0374588368763233
cqr,81,1,40146,0.9223833009515269,1.531455999112851
cqr,81,2,40171,0.919095865176371,2.1645310767484784
cqr,81,3,40175,0.8882638456751711,2.614702646942925
cqr,81,4,39746,0.8766668343984301,3.169891036685523
abs,82,0,39762,0.998943715104874,2.197043578608003
abs,82,1,40146,0.9868978229462462,2.197043578608003
abs,82,2,40171,0.9247467078240522,2.197043578608003
abs,82,3,40175,0.8203360298693217,2.197043578608003
abs,82,4,39746,0.7100085543199316,2.197043578608003
norm,82,0,39762,0.9251295206478547,0.8691647283012924
norm,82,1,40146,0.8791909530214717,1.3424618694243504
norm,82,2,40171,0.9038858878295287,2.1103794710032098
norm,82,3,40175,0.8923459863098943,2.698042525619505
norm,82,4,39746,0.8817994263573693,3.4425325315986637
cqr,82,0,39762,0.9330768070016598,0.9334844935943192
cqr,82,1,40146,0.8974742191002839,1.4274816558308467
cqr,82,2,40171,0.9030892932712653,2.0605567334664747
cqr,82,3,40175,0.8725326695706285,2.510728303660921
cqr,82,4,39746,0.8646153072007245,3.0659166934035187
abs,83,0,39762,0.9990946129470348,2.357278316768311
abs,83,1,40146,0.9918298211527923,2.357278316768311
abs,83,2,40171,0.9441139130218317,2.357278316768311
abs,83,3,40175,0.850230242688239,2.3572783167683116
abs,83,4,39746,0.7441503547526795,2.357278316768311
norm,83,0,39762,0.9272420904381067,0.8757917647212681
norm,83,1,40146,0.8818313156977033,1.3526976088778961
norm,83,2,40171,0.9059769485449702,2.126470277681066
norm,83,3,40175,0.8949844430616055,2.7186140300739807
norm,83,4,39746,0.8844160418658481,3.468780477150301
cqr,83,0,39762,0.9470851566822595,0.9801057982982845
cqr,83,1,40146,0.9089573058337069,1.4741029605348122
cqr,83,2,40171,0.9105075800950935,2.10717803817044
cqr,83,3,40175,0.8797261978842564,2.5573496083648863
cqr,83,4,39746,0.8702762542142606,3.112537998107484
abs,84,0,39762,0.9990694633066747,2.3344884500643066
abs,84,1,40146,0.9913565485976187,2.3344884500643066
abs,84,2,40171,0.9415498742874213,2.3344884500643066
abs,84,3,40175,0.8462974486621033,2.334488450064307
abs,84,4,39746,0.7395209580838323,2.3344884500643066
norm,84,0,39762,0.9329510587998592,0.8958449666871436
norm,84,1,40146,0.8888307676979027,1.3836706317382088
norm,84,2,40171,0.9127480022902094,2.1751605482116894
norm,84,3,40175,0.9030242688238954,2.780862749927709
norm,84,4,39746,0.8922658883912846,3.5482059276804496
cqr,84,0,39762,0.9541773552638197,1.0100065406988596
cqr,84,1,40146,0.9159069396702038,1.504003702935387
cqr,84,2,40171,0.9153369346045654,2.1370787805710147
cqr,84,3,40175,0.8841319228375856,2.5872503507654616
cqr,84,4,39746,0.873622502893373,3.1424387405080587
abs,85,0,39762,0.9990694633066747,2.3003013183687573
abs,85,1,40146,0.9905096398146764,2.3003013183687573
abs,85,2,40171,0.9372930721167011,2.300301318368757
abs,85,3,40175,0.8405476042314872,2.3003013183687573
abs,85,4,39746,0.7313188748553313,2.3003013183687573
norm,85,0,39762,0.9381318847140486,0.9199740914378532
norm,85,1,40146,0.8972998555273253,1.420939090599533
norm,85,2,40171,0.9202658634338204,2.2337473820638802
norm,85,3,40175,0.9114623522090852,2.8557638619535357
norm,85,4,39746,0.9010718059678962,3.643775034673165
cqr,85,0,39762,0.9610683567224989,1.0411743970667362
cqr,85,1,40146,0.9232551188163204,1.5351715593032638
cqr,85,2,40171,0.9195688431953399,2.1682466369388913
cqr,85,3,40175,0.8887865588052272,2.6184182071333377
cqr,85,4,39746,0.8769939113369899,3.173606596875935
abs,86,0,39762,0.9990443136663145,2.2760685621583647
abs,86,1,40146,0.9896876401135855,2.2760685621583647
abs,86,2,40171,0.9346045654825621,2.2760685621583647
abs,86,3,40175,0.8361667703795893,2.2760685621583647
abs,86,4,39746,0.7261108036028783,2.2760685621583647
norm,86,0,39762,0.9296061566319601,0.8850580964236345
norm,86,1,40146,0.8849449509291087,1.367009852086588
norm,86,2,40171,0.9089143909785666,2.148969437574956
norm,86,3,40175,0.8983198506533914,2.747378378390718
norm,86,4,39746,0.8884164444220802,3.505481976066767
cqr,86,0,39762,0.950354609929078,0.9926163671958603
cqr,86,1,40146,0.9119713047377074,1.486613529432388
cqr,86,2,40171,0.9124741729108063,2.1196886070680154
cqr,86,3,40175,0.8817174859987554,2.569860177262462
cqr,86,4,39746,0.8715594022039954,3.12504856700506
abs,87,0,39762,0.9991700618681153,2.4115000524856387
abs,87,1,40146,0.9930005479998008,2.4115000524856383
abs,87,2,40171,0.9487441188917378,2.4115000524856383
abs,87,3,40175,0.8591661481020535,2.4115000524856383
abs,87,4,39746,0.7542645800835304,2.4115000524856383
norm,87,0,39762,0.9227906040943614,0.8609473703352923
norm,87,1,40146,0.8757285906441489,1.3297698107413831
norm,87,2,40171,0.9014712105747927,2.09042727668071
norm,87,3,40175,0.8893590541381456,2.6725343790983764
norm,87,4,39746,0.8786041362652846,3.4099857413290753
cqr,87,0,39762,0.9437402545143605,0.9688521511400635
cqr,87,1,40146,0.9067403975489463,1.4628493133765912
cqr,87,2,40171,0.908789923078838,2.0959243910122187
cqr,87,3,40175,0.8783074051026758,2.546095961206665
cqr,87,4,39746,0.8690685855180396,3.101284350949263
abs,88,0,39762,0.9991700618681153,2.417183811893694
abs,88,1,40146,0.9931001843272057,2.417183811893694
abs,88,2,40171,0.9493913519703269,2.417183811893694
abs,88,3,40175,0.8600124455507157,2.417183811893694
abs,88,4,39746,0.7555980476022744,2.417183811893694
norm,88,0,39762,0.9299079523162819,0.886018743009218
norm,88,1,40146,0.8853684053205799,1.3684936115733075
norm,88,2,40171,0.9091882203579696,2.151301939996065
norm,88,3,40175,0.8988176726820162,2.7503603969374923
norm,88,4,39746,0.88874352136064,3.5092868441367178
cqr,88,0,39762,0.9477641969719833,0.9829539662905349
cqr,88,1,40146,0.9094056693070294,1.4769511285270625
cqr,88,2,40171,0.9110054516940082,2.1100262061626904
cqr,88,3,40175,0.8801244555071562,2.560197776357137
cqr,88,4,39746,0.8706033311528204,3.1153861660997344
abs,89,0,39762,0.9990443136663145,2.2703584811029964
abs,89,1,40146,0.9894883674587754,2.270358481102996
abs,89,2,40171,0.9338826516641359,2.2703584811029964
abs,89,3,40175,0.8351213441194772,2.2703584811029964
abs,89,4,39746,0.7249282946711619,2.2703584811029964
norm,89,0,39762,0.9359941652834365,0.9088661076505573
norm,89,1,40146,0.8934638569222338,1.4037823374604905
norm,89,2,40171,0.9166562943416893,2.206776590238537
norm,89,3,40175,0.9080024891101431,2.8212826966966476
norm,89,4,39746,0.8967946460021134,3.5997792369801638
cqr,89,0,39762,0.9312911825360898,0.9285119852383129
cqr,89,1,40146,0.896253674089573,1.4225091474748406
cqr,89,2,40171,0.9023673794528391,2.055584225110468
cqr,89,3,40175,0.8718108276291225,2.505755795304915
cqr,89,4,39746,0.8639863130881095,3.060944185047512
abs,90,0,39762,0.9991449122277551,2.404666065294223
abs,90,1,40146,0.9928012753449907,2.404666065294223
abs,90,2,40171,0.9483956087724976,2.404666065294223
abs,90,3,40175,0.8581207218419415,2.404666065294223
abs,90,4,39746,0.753082071151814,2.404666065294223
norm,90,0,39762,0.9373773955032443,0.9150283141400913
norm,90,1,40146,0.895431674388482,1.4133001273274197
norm,90,2,40171,0.9188967165368052,2.22173876443653
norm,90,3,40175,0.9098444306160548,2.8404112860411606
norm,90,4,39746,0.8993106224525739,3.624186113623799
cqr,90,0,39762,0.9564408228962326,1.0196743622564421
cqr,90,1,40146,0.9180491207094107,1.51367152449297
cqr,90,2,40171,0.9165069328620149,2.1467466021285975
cqr,90,3,40175,0.8856253889234599,2.5969181723230443
cqr,90,4,39746,0.8748050118250893,3.1521065620656414
abs,91,0,39762,0.9984910215783914,2.075914515241686
abs,91,1,40146,0.9819160065759976,2.075914515241686
abs,91,2,40171,0.9072465211222026,2.075914515241686
abs,91,3,40175,0.7957685127566895,2.075914515241686
abs,91,4,39746,0.682584411009913,2.075914515241686
norm,91,0,39762,0.9241738343141693,0.8660496457100927
norm,91,1,40146,0.8779953170926119,1.3376504919459222
norm,91,2,40171,0.9029897189514824,2.1028158801936803
norm,91,3,40175,0.8912507778469198,2.688372752988142
norm,91,4,39746,0.8806672369546621,3.4301945100365376
cqr,91,0,39762,0.9281223278507117,0.9193337854610614
cqr,91,1,40146,0.8935385841677875,1.413330947697589
cqr,91,2,40171,0.9008737646560951,2.046406025333217
cqr,91,3,40175,0.8702675793403858,2.496577595527663
cqr,91,4,39746,0.8628038041563931,3.051765985270261
abs,92,0,39762,0.9990694633066747,2.3274974325810165
abs,92,1,40146,0.99118218502466,2.3274974325810165
abs,92,2,40171,0.9406288118294291,2.327497432581016
abs,92,3,40175,0.8451524579962664,2.3274974325810165
abs,92,4,39746,0.7375836562169779,2.3274974325810165
norm,92,0,39762,0.9205271364619486,0.8543135087887632
norm,92,1,40146,0.8728889553131072,1.3195235295897523
norm,92,2,40171,0.8992805755395683,2.0743198982225035
norm,92,3,40175,0.886372121966397,2.651941688232298
norm,92,4,39746,0.8757610828762643,3.38371076324905
cqr,92,0,39762,0.9427342688999547,0.9657224380004269
cqr,92,1,40146,0.9059682160115579,1.4597196002369548
cqr,92,2,40171,0.908316945059869,2.0927946778725826
cqr,92,3,40175,0.877909147479776,2.542966248067029
cqr,92,4,39746,0.8687918281084889,3.098154637809626
abs,93,0,39762,0.9988431165434334,2.1703784953849237
abs,93,1,40146,0.9857270960992378,2.1703784953849237
abs,93,2,40171,0.9210624579920839,2.1703784953849237
abs,93,3,40175,0.8149844430616054,2.1703784953849237
abs,93,4,39746,0.7048004830674784,2.1703784953849237
norm,93,0,39762,0.925179819928575,0.8694574257545283
norm,93,1,40146,0.8792656802670253,1.342913953082893
norm,93,2,40171,0.9039854621493117,2.1110901564192317
norm,93,3,40175,0.8923708774113255,2.698951110782083
norm,93,4,39746,0.8818749056508831,3.443691829107952
cqr,93,0,39762,0.9340073436949852,0.936629516707851
cqr,93,1,40146,0.8980720370647138,1.4306266789443787
cqr,93,2,40171,0.9038361006696373,2.063701756580006
cqr,93,3,40175,0.873204729309272,2.5138733267744535
cqr,93,4,39746,0.8648920646102752,3.06906171651705
abs,94,0,39762,0.9987425179819929,2.132084536201432
abs,94,1,40146,0.9840830966970557,2.132084536201432
abs,94,2,40171,0.9154365089243484,2.132084536201432
abs,94,3,40175,0.8077162414436839,2.132084536201432
abs,94,4,39746,0.6955920092587934,2.132084536201432
norm,94,0,39762,0.9318193249836527,0.8923780934200018
norm,94,1,40146,0.8877098590145968,1.3783158986068258
norm,94,2,40171,0.9113539618132483,2.166742790411226
norm,94,3,40175,0.9016801493466086,2.77010095621806
norm,94,4,39746,0.8911336989885774,3.5344745559203576
cqr,94,0,39762,0.9514863437452844,0.9972147952283466
cqr,94,1,40146,0.9130922134210133,1.4912119574648743
cqr,94,2,40171,0.9134450225286899,2.124287035100502
cqr,94,3,40175,0.8822153080273802,2.5744586052949483
cqr,94,4,39746,0.8721380767876012,3.1296469950375463
