method,trial,coverage,mean_width,q_hat,ssc_worst,crossing_rate,sigma_clip_rate
cqr,25,0.902635,2.0422397760302307,0.06636186399273658,0.8847086468514861,0.0,
abs,26,0.901605,2.3165544263071216,1.158277213153561,,,
norm,26,0.908855,2.1775458687802485,2.2063654681897225,0.893275,,5e-05
cqr,26,0.91195,2.095366213825626,0.09292508289043444,0.8904332175086869,0.0,
abs,27,0.91668,2.4703102141883715,1.2351551070941849,,,
norm,27,0.907475,2.167913412303179,2.1966055271250826,0.8918,,5e-05
cqr,27,0.92087,2.1544316049471655,0.1224577784512042,0.8967577431692623,0.0,
abs,28,0.9041,2.3385235043560346,1.169261752178018,,,
norm,28,0.8961,2.0902927381825216,2.117957551230385,0.880075,,5e-05
cqr,28,0.909965,2.083987969984619,0.08723596096993091,0.8893083018773592,0.0,
abs,29,0.890015,2.211953401664808,1.1059767008324046,,,
norm,29,0.89252,2.0665262645083553,2.093876530680084,0.8764,,5e-05
cqr,29,0.8883,1.9718216874726073,0.031152819713924806,0.8761157086781508,0.0,
abs,30,0.911725,2.4188606428789616,1.2094303214394815,,,
norm,30,0.900235,2.118532538664554,2.146571102616573,0.8847,,5e-05
cqr,30,0.88937,1.9764375971266392,0.033460774540940985,0.8768657649323699,0.0,
abs,31,0.89849,2.28712346276882,1.1435617313844104,,,
norm,31,0.90248,2.133576575656738,2.1618142459173,0.886575,,5e-05
cqr,31,0.91401,2.1080096765429515,0.0992468142490972,0.8916331275154363,0.0,
abs,32,0.88933,2.2054955808301293,1.1027477904150647,,,
norm,32,0.88937,2.047128730281276,2.074222272048725,0.8731,,5e-05
cqr,32,0.894445,2.001252724489831,0.04586833822253711,0.8802589805764568,0.0,
abs,33,0.896795,2.2715330686628334,1.135766534331416,,,
norm,33,0.890365,2.0530781737643604,2.08025045581478,0.874225,,5e-05
cqr,33,0.908715,2.0768062342782536,0.08364509311674828,0.8883333749968753,0.0,
abs,34,0.899965,2.3010811011889767,1.1505405505944881,,,
norm,34,0.88757,2.035650043218825,2.0625916657235708,0.871275,,5e-05
cqr,34,0.893955,1.9986627275390627,0.04457333974715272,0.8798840086993476,0.0,
abs,35,0.90665,2.364700449426131,1.1823502247130655,,,
norm,35,0.891045,2.0570763242542847,2.0843015214222,0.874925,,5e-05
cqr,35,0.89243,1.991510011349933,0.040996981652587916,0.8789840761942854,0.0,
abs,36,0.889425,2.2061284631182043,1.1030642315591015,,,
norm,36,0.88684,2.031493631805089,2.0583802446250137,0.87045,,5e-05
cqr,36,0.88689,1.9649514944107551,0.027717723182999254,0.8749156186714003,0.0,
abs,37,0.898635,2.2885074451436584,1.1442537225718297,,,
norm,37,0.90416,2.144887250853839,2.1732746167570527,0.8884,,5e-05
cqr,37,0.9103,2.0859165331289544,0.08820024254209868,0.8895582831287654,0.0,
abs,38,0.88886,2.202041230175027,1.1010206150875137,,,
norm,38,0.90278,2.135308408943475,2.163568999842487,0.886775,,5e-05
cqr,38,0.891445,1.986922739940482,0.03870334594786268,0.8784591155663325,0.0,
abs,39,0.90576,2.3545782146166356,1.1772891073083174,,,
norm,39,0.901175,2.124225655504984,2.152339567282776,0.8855,,5e-05
cqr,39,0.903605,2.048123597987592,0.06930377497141726,0.885433592480564,0.0,
abs,40,0.901565,2.3158359956675003,1.1579179978337508,,,
norm,40,0.898255,2.103831995881524,2.1316759996361276,0.882325,,5e-05
cqr,40,0.906455,2.0633786775305794,0.07693131474291126,0.8869334799890009,0.0,
abs,41,0.91068,2.4081625118317405,1.2040812559158693,,,
norm,41,0.90043,2.1198601876747567,2.1479163229271916,0.8849,,5e-05
cqr,41,0.91067,2.0881404715371663,0.08931221174620463,0.889708271879609,0.0,
abs,42,0.88426,2.1621265619206773,1.0810632809603384,,,
norm,42,0.89237,2.0654867085354924,2.092823216289026,0.87635,,5e-05
cqr,42,0.87778,1.9265723527868843,0.008528152371063635,0.8686151461359602,0.0,
abs,43,0.89547,2.2604730480189286,1.130236524009464,,,
norm,43,0.903,2.1366347928371874,2.164912938292927,0.887,,5e-05
cqr,43,0.894395,2.0010447840059555,0.04576436798059924,0.8802339824513161,0.0,
abs,44,0.90944,2.3933713614216376,1.1966856807108195,,,
norm,44,0.913145,2.210490285932734,2.2397459013723298,0.8975,,5e-05
cqr,44,0.921005,2.1552253345662136,0.12285464326072848,0.896907731920106,0.0,
abs,45,0.894035,2.2476607664271055,1.123830383213553,,,
norm,45,0.905045,2.1501054295535273,2.1785618575242403,0.8893,,5e-05
cqr,45,0.909425,2.0808913838162053,0.08568766788572435,0.8888333374996875,0.0,
abs,46,0.8995,2.296353943182936,1.1481769715914678,,,
norm,46,0.89731,2.0980248406287343,2.125791987270708,0.881275,,5e-05
cqr,46,0.904065,2.050825557894408,0.07065475492482554,0.8857085718571107,0.0,
abs,47,0.89173,2.2277399261149493,1.1138699630574742,,,
norm,47,0.89291,2.068495907279467,2.095872241474128,0.876875,,5e-05
cqr,47,0.894685,2.00240086219569,0.04644240707546671,0.8803339749518786,0.0,
abs,48,0.904885,2.3463636702509945,1.173181835125498,,,
norm,48,0.893145,2.070041008157395,2.0974377916059557,0.87715,,5e-05
cqr,48,0.896625,2.0117390962914303,0.051111524123336416,0.881283903707222,0.0,
abs,49,0.89858,2.287782828400615,1.143891414200307,,,
norm,49,0.89659,2.0934148312907763,2.1211209649252645,0.880575,,5e-05
cqr,49,0.89949,2.026000061730703,0.058242006842973204,0.8830837687173462,0.0,
abs,50,0.90331,2.3313651557974993,1.1656825778987494,,,
norm,50,0.892035,2.06350732113684,2.0908176318982807,0.875975,,5e-05
cqr,50,0.89699,2.013749454363643,0.0521167031594425,0.8814338924580657,0.0,
abs,51,0.88604,2.17736928177351,1.0886846408867552,,,
