method,trial,coverage,mean_width,q_hat,ssc_worst,crossing_rate,sigma_clip_rate
cqr,122,0.900255,2.0294877341282342,0.05998584304173871,0.8835337349698773,0.0,
abs,123,0.897585,2.2789682101018682,1.1394841050509343,,,
norm,123,0.89589,2.0883900433756684,2.1160296744501377,0.879875,,5e-05
cqr,123,0.892675,1.9925714671592756,0.04152770955725926,0.8790840686948479,0.0,
abs,124,0.898675,2.2888108358242416,1.1444054179121206,,,
norm,124,0.906995,2.1641838376654197,2.1928265919440757,0.891375,,5e-05
cqr,124,0.901135,2.034229978909253,0.062356965432248,0.8840086993475489,0.0,
abs,125,0.89483,2.2548631474622236,1.1274315737311111,,,
norm,125,0.89909,2.1096532758252393,2.137574323631329,0.883275,,5e-05
cqr,125,0.904055,2.050640226335022,0.0705620891451321,0.8857085718571107,0.0,
abs,126,0.897745,2.28037774903622,1.1401888745181101,,,
norm,126,0.907575,2.1688269859626224,2.1975311918395404,0.8919,,5e-05
cqr,126,0.900295,2.0298042395225178,0.06014409573888052,0.8835837312201585,0.0,
abs,127,0.888465,2.1984350270532054,1.0992175135266027,,,
norm,127,0.89376,2.074171926811912,2.1016233825512023,0.87765,,5e-05
cqr,127,0.903205,2.045758026761415,0.06812098935832894,0.885108616853736,0.0,
abs,128,0.88779,2.192469815846757,1.096234907923379,,,
norm,128,0.892255,2.064724367049071,2.0920507852901093,0.876225,,5e-05
cqr,128,0.89146,1.9871831430065923,0.03883354748091761,0.8784841136914732,0.0,
abs,129,0.910475,2.4052661733852294,1.202633086692615,,,
norm,129,0.90224,2.131858570752378,2.1600735033917315,0.886375,,5e-05
cqr,129,0.89589,2.0079092276710417,0.049196589813142344,0.8809839262055346,0.0,
abs,130,0.87428,2.0838084204201857,1.0419042102100933,,,
norm,130,0.86837,1.9262707871687905,1.9517647862786567,0.85115,,5e-05
cqr,130,0.87204,1.9038133349593225,-0.002851356542717398,0.8649148686151461,0.0,
abs,131,0.904325,2.340820906643337,1.1704104533216688,,,
norm,131,0.896525,2.0930797626588835,2.120781461693906,0.880525,,5e-05
cqr,131,0.90415,2.0512767724511076,0.0708803622031755,0.8857085718571107,0.0,
abs,132,0.89585,2.2635256101506234,1.1317628050753121,,,
norm,132,0.90093,2.122911874740909,2.1510083987631194,0.885325,,5e-05
cqr,132,0.900155,2.029076221296484,0.05978008662586354,0.8834337424693148,0.0,
abs,133,0.872345,2.0682357202908244,1.0341178601454122,,,
norm,133,0.891585,2.0604103677190415,2.0876796906151203,0.87545,,5e-05
cqr,133,0.89865,2.0217071342772814,0.05609554311626247,0.8825588080893932,0.0,
abs,134,0.90455,2.343071852437873,1.171535926218936,,,
norm,134,0.905525,2.153496276400497,2.1819975818863924,0.889675,,5e-05
cqr,134,0.916505,2.124194792814478,0.10733937238486047,0.8933579981501387,0.0,
abs,135,0.920165,2.511046685487571,1.2555233427437857,,,
norm,135,0.8984,2.1048476971497214,2.132705143607916,0.882475,,5e-05
cqr,135,0.89667,2.011946519370989,0.0512152356631157,0.881283903707222,0.0,
abs,136,0.899075,2.2923908750199544,1.1461954375099774,,,
norm,136,0.893085,2.0697244072590797,2.0971170005267608,0.877,,5e-05
cqr,136,0.891455,1.9870706350697502,0.03877729351249637,0.8784591155663325,0.0,
abs,137,0.88243,2.146649447381743,1.0733247236908716,,,
norm,137,0.90468,2.147829760165837,2.176256069882289,0.888975,,5e-05
cqr,137,0.90322,2.0457755615992714,0.06812975677725719,0.885108616853736,0.0,
abs,138,0.910325,2.4030217585547575,1.2015108792773797,,,
norm,138,0.915405,2.228365937036546,2.257858134911158,0.900275,,5e-05
cqr,138,0.91339,2.1042930845100347,0.09738851823263861,0.891333150013749,0.0,
abs,139,0.908265,2.381829822311998,1.1909149111559985,,,
norm,139,0.896275,2.091206976909094,2.118883889814069,0.880225,,5e-05
cqr,139,0.89612,2.0092758355884146,0.049879893771829,0.8810339224558158,0.0,
abs,140,0.90511,2.348243784486613,1.174121892243307,,,
norm,140,0.8975,2.099480126983278,2.1272665341930157,0.881425,,5e-05
cqr,140,0.902685,2.0426667639834406,0.066575357969342,0.8847336449766268,0.0,
abs,141,0.896395,2.2686213795360164,1.1343106897680086,,,
norm,141,0.90755,2.1686941801684347,2.1973966283740936,0.8919,,5e-05
cqr,141,0.91254,2.0992602503493836,0.09487210115231334,0.8908331875109367,0.0,
abs,142,0.910925,2.4106650883538894,1.2053325441769451,,,
norm,142,0.90669,2.16201553369501,2.190629590689848,0.89085,,5e-05
cqr,142,0.902725,2.042748607179652,0.06661627956744753,0.8847586431017673,0.0,
abs,143,0.902475,2.3235846665900652,1.1617923332950326,,,
norm,143,0.89798,2.10248165830604,2.1303077904793604,0.881825,,5e-05
cqr,143,0.903585,2.047976070073659,0.06923001101445092,0.885433592480564,0.0,
abs,144,0.891655,2.226713250484565,1.1133566252422822,,,
norm,144,0.899285,2.111142813047302,2.139083574727925,0.883425,,5e-05
cqr,144,0.89837,2.0200882152885966,0.05528608362191956,0.8823588230882684,0.0,
abs,145,0.90725,2.3712406970380595,1.1856203485190295,,,
norm,145,0.90132,2.1257582683883016,2.1538924641426465,0.885725,,5e-05
cqr,145,0.89351,1.9965734785339788,0.043528715244611105,0.8795090368222384,0.0,
abs,146,0.896045,2.265223432964234,1.132611716482117,,,
norm,146,0.89232,2.065029508163831,2.0923599649166715,0.876325,,5e-05
cqr,146,0.894405,2.0010915587701295,0.04578775536268598,0.8802339824513161,0.0,
abs,147,0.920175,2.511126224409239,1.2555631122046198,,,
norm,147,0.905925,2.156363632659678,2.184902887315756,0.890025,,5e-05
cqr,147,0.914315,2.1103711521836397,0.10042755206944132,0.8919081068919831,0.0,
abs,148,0.87581,2.0958007059631707,1.0479003529815851,,,
norm,148,0.88977,2.0491782344759426,2.076298901224189,0.873575,,5e-05
cqr,148,0.89025,1.980793234280202,0.03563859311772255,0.8774908118108858,0.0,
abs,149,0.922005,2.53456165014046,1.2672808250702299,,,
norm,149,0.917565,2.2463166090048237,2.2760463822080084,0.902575,,5e-05
cqr,149,0.91396,2.107594041654861,0.09903899680505213,0.8916081293902958,0.0,
abs,150,0.901225,2.312726973137254,1.1563634865686272,,,
norm,150,0.91374,2.21554126264932,2.2448637272550735,0.898275,,5e-05
cqr,150,0.89366,1.9973894352347794,0.04393669359501118,0.8796340274479414,0.0,
abs,151,0.905695,2.3539164885710586,1.1769582442855286,,,
norm,151,0.898675,2.106713156911424,2.1345952925409546,0.88285,,5e-05
cqr,151,0.88796,1.969985276089726,0.030234614022484507,0.8758656899267445,0.0,
abs,152,0.91055,2.406728760247477,1.2033643801237393,,,
norm,152,0.895865,2.0881039951679483,2.1157398404233096,0.879875,,5e-05
cqr,152,0.90663,2.064395858057142,0.07743990500619269,0.8870334724895633,0.0,
abs,153,0.874665,2.087108802913143,1.043554401456572,,,
norm,153,0.883905,2.0148704440176983,2.0415370506279675,0.867525,,5e-05
cqr,153,0.88606,1.9616104216649715,0.026047186810107092,0.8743155736680251,0.0,
abs,154,0.900035,2.3019906884928805,1.150995344246441,,,
norm,154,0.88172,2.0007091723211143,2.0271883559322745,0.86545,,5e-05
cqr,154,0.9016,2.0366346300360223,0.06355929099563284,0.8842336824738145,0.0,
abs,155,0.906745,2.3655695043635343,1.1827847521817665,,,
norm,155,0.911165,2.1965537445277388,2.225624911250913,0.895175,,5e-05
cqr,155,0.908485,2.0752989550395657,0.08289145349740423,0.8882333824963128,0.0,
abs,156,0.915125,2.4531067943056395,1.2265533971528195,,,
norm,156,0.91305,2.2097376794398906,2.238983334208647,0.897375,,5e-05
cqr,156,0.907725,2.0706080861217018,0.08054601903847258,0.8877584181186411,0.0,
abs,157,0.912125,2.422126658307015,1.2110633291535082,,,
norm,157,0.912765,2.207630750687157,2.2368485204668946,0.896875,,5e-05
cqr,157,0.909065,2.0788241426566003,0.08465404730592152,0.8885833562482813,0.0,
abs,158,0.892635,2.23583123037938,1.1179156151896898,,,
norm,158,0.88369,2.013611638515884,2.040261584962611,0.867275,,5e-05
cqr,158,0.87806,1.9278846787340382,0.009184315344640925,0.8687401555116634,0.0,
abs,159,0.89699,2.2735713002925304,1.1367856501462645,,,
norm,159,0.901255,2.1250791369239996,2.153204344442079,0.885575,,5e-05
cqr,159,0.89461,2.0021283417052884,0.046306146830265627,0.8803339749518786,0.0,
abs,160,0.907945,2.378359311566932,1.1891796557834657,,,
norm,160,0.908285,2.1733274533013183,2.202091222408438,0.892675,,5e-05
cqr,160,0.90815,2.072879698872935,0.08168182541408919,0.8881083918706097,0.0,
abs,161,0.88412,2.1608258638130806,1.08041293190654,,,
norm,161,0.88107,1.9965224569543472,2.022946229810932,0.864825,,5e-05
cqr,161,0.903785,2.049349548543793,0.06991675024951793,0.8855085868559858,0.0,
abs,162,0.876935,2.10487572485151,1.0524378624257549,,,
norm,162,0.891585,2.0603900884159843,2.0876591429175373,0.87545,,5e-05
cqr,162,0.891595,1.9876332497535611,0.03905860085440227,0.8785841061920356,0.0,
abs,163,0.90542,2.3511201955586434,1.1755600977793224,,,
norm,163,0.89416,2.0765862715898415,2.1040696809381627,0.87805,,5e-05
cqr,163,0.89929,2.0248250528069143,0.05765450238107883,0.8830087743419244,0.0,
abs,164,0.89603,2.264956517572358,1.1324782587861781,,,
norm,164,0.913125,2.2104080288846064,2.239662555660487,0.897475,,5e-05
cqr,164,0.90221,2.03969267657015,0.06508831426269612,0.8845336599755018,0.0,
abs,165,0.912055,2.421676870518697,1.2108384352593486,,,
norm,165,0.914175,2.2189319223813486,2.2482992620258386,0.898875,,5e-05
cqr,165,0.918495,2.1371303648030238,0.11380715837913363,0.8950578706597005,0.0,
abs,166,0.902765,2.3262908660445754,1.1631454330222883,,,
norm,166,0.893685,2.073540074600635,2.1009831678397934,0.877575,,5e-05
cqr,166,0.89536,2.0052874359780923,0.04788569396666764,0.8807339449541285,0.0,
abs,167,0.90456,2.3432010906418554,1.1716005453209268,,,
norm,167,0.89904,2.1093187240306763,2.1372353440775913,0.88325,,5e-05
cqr,167,0.89399,1.9988193665197325,0.044651659237487706,0.8798840086993476,0.0,
abs,168,0.90031,2.30494749347514,1.152473746737571,,,
norm,168,0.899265,2.1108594950809523,2.1387965070769357,0.883425,,5e-05
cqr,168,0.89433,2.000380383047504,0.04543216750137358,0.8802339824513161,0.0,
abs,169,0.91277,2.429175727276446,1.2145878636382232,,,
norm,169,0.914435,2.22097115849532,2.2503654872235987,0.899125,,5e-05
cqr,169,0.91702,2.1278575332052614,0.10917074258025217,0.8938829587780917,0.0,
abs,170,0.882785,2.1492964676044077,1.0746482338022032,,,
norm,170,0.883905,2.0148754072005075,2.0415420794979995,0.867525,,5e-05
cqr,170,0.880345,1.9370552233889338,0.013769587672088468,0.8701902642698203,0.0,
abs,171,0.905195,2.348910359473621,1.174455179736811,,,
norm,171,0.904195,2.145019466327898,2.173408582089543,0.88845,,5e-05
cqr,171,0.91875,2.139074925487566,0.11477943872140473,0.8952578556608254,0.0,
abs,172,0.892465,2.234135596755794,1.1170677983778976,,,
norm,172,0.88907,2.0451573003967254,2.0722247504889753,0.872725,,5e-05
cqr,172,0.879255,1.9325768365009353,0.011530394228089325,0.869515213641023,0.0,
abs,173,0.902855,2.3273528610329497,1.1636764305164753,,,
norm,173,0.900245,2.118661495118127,2.1467017657957705,0.884725,,5e-05
cqr,173,0.888915,1.974458782239329,0.03247136709728604,0.876515738680401,0.0,
abs,174,0.896865,2.272391138264977,1.1361955691324883,,,
norm,174,0.91008,2.186983697009063,2.2159282051209206,0.89435,,5e-05
cqr,174,0.903255,2.0459568523283482,0.06822040214179581,0.8851586131040172,0.0,
abs,175,0.9028,2.3268153036599846,1.163407651829993,,,
norm,175,0.895655,2.0867711227008123,2.1143893275238335,0.87965,,5e-05
cqr,175,0.908685,2.076643262517184,0.08356360723621359,0.8883333749968753,0.0,
abs,176,0.909505,2.3942726609447877,1.1971363304723945,,,
norm,176,0.909795,2.185002358959383,2.2139206442624793,0.894025,,5e-05
cqr,176,0.915445,2.11701923769002,0.10375159482263174,0.8927080468964828,0.0,
abs,177,0.92097,2.521236193377085,1.2606180966885425,,,
norm,177,0.911315,2.197630444190278,2.226715860924625,0.89535,,5e-05
cqr,177,0.915635,2.11852018476562,0.10450206836043163,0.8927830412719046,0.0,
abs,178,0.894335,2.250293420816194,1.1251467104080972,,,
norm,178,0.903235,2.138088317425842,2.1663857001325515,0.887325,,5e-05
cqr,178,0.89883,2.022680615070778,0.056582283513010256,0.8827587930905182,0.0,
abs,179,0.892785,2.236963445480072,1.1184817227400368,,,
norm,179,0.894685,2.080423799982961,2.1079579986315666,0.878775,,5e-05
cqr,179,0.901925,2.0383051899336206,0.06439457094443202,0.8843586730995175,0.0,
abs,180,0.890595,2.21737736178734,1.1086886808936698,,,
norm,180,0.90316,2.1376915068723954,2.1659836378315505,0.887225,,5e-05
cqr,180,0.91012,2.0848215864054924,0.08765276918036768,0.8894332925030622,0.0,
abs,181,0.88468,2.1659526865611576,1.082976343280579,,,
norm,181,0.883215,2.0106090572237734,2.0372192648106786,0.86685,,5e-05
cqr,181,0.881045,1.9399047991898568,0.015194375572549879,0.8705152886466485,0.0,
abs,182,0.900645,2.307925170274129,1.153962585137064,,,
norm,182,0.895625,2.086301301202275,2.1139132879852647,0.879625,,5e-05
cqr,182,0.91187,2.0950738232623496,0.09277888760879627,0.8903832212584056,0.0,
abs,183,0.89357,2.2437568324116817,1.1218784162058408,,,
norm,183,0.89031,2.0527623685944065,2.079930470995332,0.8741,,5e-05
cqr,183,0.883255,1.948724885215309,0.01960441858527613,0.8721654124059305,0.0,
abs,184,0.90711,2.369915060763306,1.1849575303816537,,,
norm,184,0.90118,2.124350759828759,2.1524663273496265,0.8855,,5e-05
cqr,184,0.899445,2.025765082677062,0.058124517316152285,0.8830587705922056,0.0,
abs,185,0.892805,2.2372743833174695,1.1186371916587343,,,
norm,185,0.907215,2.166216752058962,2.1948864117540765,0.891625,,5e-05
cqr,185,0.90534,2.0576293759394773,0.07405666394736021,0.8863085268604854,0.0,
abs,186,0.916355,2.466963112106086,1.2334815560530428,,,
norm,186,0.904675,2.147737961276566,2.1761630560439995,0.888975,,5e-05
cqr,186,0.907025,2.066672079691064,0.07857801582315371,0.8873334499912506,0.0,
abs,187,0.907125,2.3699936230245626,1.1849968115122818,,,
norm,187,0.90111,2.1239931411892616,2.152103975663593,0.8855,,5e-05
cqr,187,0.91862,2.13820107057966,0.11434251126745176,0.8951828612854036,0.0,
abs,188,0.904125,2.338800561202108,1.1694002806010544,,,
norm,188,0.897215,2.09731572986152,2.1250734914941853,0.88115,,5e-05
cqr,188,0.907535,2.06943133828157,0.0799576451184063,0.887633427492938,0.0,
abs,189,0.91567,2.459365500590522,1.2296827502952614,,,
norm,189,0.913705,2.2152349385967733,2.2445533490346627,0.89825,,5e-05
cqr,189,0.91161,2.0937210073617742,0.0921024796585087,0.8901832362572807,0.0,
abs,190,0.899585,2.2973144984316445,1.148657249215822,,,
norm,190,0.896025,2.0896919092187165,2.1173487703559917,0.88005,,5e-05
cqr,190,0.911265,2.091555538155168,0.09101974505520549,0.8899582531310152,0.0,
abs,191,0.898905,2.290953154233122,1.1454765771165605,,,
norm,191,0.892225,2.0645961520164002,2.0919208733444443,0.8762,,5e-05
cqr,191,0.898785,2.0224790795881527,0.056481515771697806,0.8827587930905182,0.0,
abs,192,0.880575,2.13307621043711,1.0665381052185545,,,
norm,192,0.878315,1.981148642057438,2.007368944028253,0.8623,,5e-05
cqr,192,0.88137,1.941200300046059,0.015842126000650936,0.8708403130234768,0.0,
abs,193,0.905985,2.35690963530449,1.1784548176522451,,,
norm,193,0.89948,2.1127214435121693,2.1406830982073854,0.88375,,5e-05
cqr,193,0.901295,2.0349693958607666,0.06272667390800502,0.8840836937229708,0.0,
abs,194,0.896855,2.2723269274137747,1.136163463706888,,,
norm,194,0.898935,2.1086319059560164,2.1365394360351555,0.883175,,5e-05
cqr,194,0.90195,2.0384456903721717,0.06446482116370733,0.8843586730995175,0.0,
abs,195,0.883175,2.1531353425635156,1.0765676712817571,,,
norm,195,0.88902,2.044800507066129,2.0718632350347232,0.872675,,5e-05
cqr,195,0.89313,1.9946892003049468,0.04258657613009498,0.8792840536959728,0.0,
abs,196,0.88156,2.14059875032978,1.0702993751648906,,,
norm,196,0.90202,2.130557734343934,2.158755450544945,0.886225,,5e-05
cqr,196,0.902755,2.0429908782339843,0.06673741509461362,0.884783641226908,0.0,
abs,197,0.90619,2.3594751123515945,1.1797375561757968,,,
norm,197,0.90245,2.1331871951771304,2.161419712026414,0.886525,,5e-05
cqr,197,0.89738,2.0155623794748228,0.05302316571503274,0.8816338774591905,0.0,
abs,198,0.882575,2.1478876315770896,1.0739438157885444,,,
norm,198,0.89939,2.1120736619507294,2.1400267433224744,0.883575,,5e-05
cqr,198,0.89544,2.0055255131269507,0.04800473254109683,0.8807839412044096,0.0,
abs,199,0.899325,2.2946786808571797,1.1473393404285894,,,
norm,199,0.90146,2.1266709389216003,2.1548172137781765,0.88585,,5e-05
cqr,199,0.905125,2.0564787127235746,0.07348133233940901,0.8861335399845012,0.0,
abs,200,0.89845,2.28676495967286,1.1433824798364305,,,
norm,200,0.91474,2.2230255930069807,2.252447111968304,0.8994,,5e-05
cqr,200,0.893965,1.9987214028392823,0.044602677397262536,0.8798840086993476,0.0,
abs,201,0.899445,2.2958651740142937,1.1479325870071466,,,
norm,201,0.900115,2.1175989043520196,2.1456251117483083,0.884525,,5e-05
cqr,201,0.900295,2.0297932455661534,0.0601385987606981,0.8835837312201585,0.0,
abs,202,0.904675,2.3438823595077185,1.1719411797538597,,,
norm,202,0.8995,2.112939593284348,2.1409041351697424,0.88375,,5e-05
cqr,202,0.9127,2.1000213654958677,0.09525265872555533,0.8909331800114991,0.0,
abs,203,0.91287,2.4302362127774284,1.215118106388714,,,
norm,203,0.90751,2.1683198721700596,2.1970173664472052,0.891875,,5e-05
cqr,203,0.903935,2.0501139649913034,0.07029895847327317,0.8856335774816889,0.0,
abs,204,0.91423,2.444235192319569,1.2221175961597852,,,
norm,204,0.91222,2.2030925954279907,2.2322503031817105,0.89635,,5e-05
cqr,204,0.913855,2.106905429775114,0.09869469086517868,0.8915331350148739,0.0,
abs,205,0.905155,2.348557103314214,1.1742785516571077,,,
norm,205,0.907875,2.1704224171850584,2.199147738432897,0.89225,,5e-05
cqr,205,0.904805,2.0548086070702194,0.07264627951273128,0.8860835437342199,0.0,
abs,206,0.901805,2.3181550976561542,1.1590775488280776,,,
norm,206,0.897985,2.10252327593173,2.1303499589101182,0.881825,,5e-05
cqr,206,0.9059,2.0604436509722768,0.07546380146375964,0.8866585006124541,0.0,
abs,207,0.908545,2.3845895193736832,1.1922947596868414,,,
norm,207,0.912985,2.2091328920714752,2.238370542540559,0.897275,,5e-05
cqr,207,0.89985,2.0277928740101103,0.05913841298267686,0.8833087518436117,0.0,
abs,208,0.900225,2.3040825505334155,1.1520412752667082,,,
norm,208,0.897735,2.100949122316437,2.1287549715308836,0.881625,,5e-05
cqr,208,0.88771,1.9687157976423675,0.029599874798805437,0.8756406730504788,0.0,
abs,209,0.89683,2.271995359526194,1.1359976797630966,,,
norm,209,0.89096,2.056623072085429,2.0838422705067163,0.87485,,5e-05
cqr,209,0.887485,1.9677006792636746,0.029092315609458852,0.875415656174213,0.0,
abs,210,0.906295,2.360838736234442,1.1804193681172217,,,
norm,210,0.91865,2.2547287524606845,2.284569859531985,0.903675,,5e-05
cqr,210,0.904115,2.0510228907920482,0.0707534213736456,0.8857085718571107,0.0,
abs,211,0.9103,2.402603538354329,1.201301769177165,,,
norm,211,0.91303,2.209531083543137,2.2387740040360873,0.897375,,5e-05
cqr,211,0.915805,2.1193621846419384,0.10492306829859044,0.8928580356473265,0.0,
abs,212,0.90442,2.341713819525125,1.170856909762562,,,
norm,212,0.893275,2.070961625781648,2.098370593511385,0.877225,,5e-05
cqr,212,0.902145,2.039430081534919,0.06495701674508098,0.8844836637252206,0.0,
abs,213,0.90481,2.3453309057145617,1.17266545285728,,,
norm,213,0.90637,2.1597311991582844,2.1883150232164894,0.89035,,5e-05
cqr,213,0.911575,2.0935198046986048,0.09200187832692408,0.8901832362572807,0.0,
abs,214,0.894335,2.2504610307412065,1.1252305153706033,,,
norm,214,0.90374,2.141982335000218,2.1703312546358142,0.88785,,5e-05
cqr,214,0.908815,2.077527145497225,0.08400554872623411,0.8884083693722971,0.0,
abs,215,0.90594,2.3565814293167975,1.1782907146583983,,,
norm,215,0.910835,2.1936765602218515,2.222709647701639,0.894975,,5e-05
cqr,215,0.914605,2.112032494245115,0.10125822310017873,0.892108091893108,0.0,
abs,216,0.914125,2.443012013210719,1.2215060066053598,,,
norm,216,0.90665,2.161582544839875,2.1901908712709925,0.890775,,5e-05
cqr,216,0.909445,2.0809834984422575,0.08573372519875022,0.8888333374996875,0.0,
abs,217,0.89228,2.23239955669549,1.1161997783477444,,,
norm,217,0.91336,2.2121272012536424,2.2414044811020077,0.897675,,5e-05
cqr,217,0.904925,2.0553966224559104,0.07294028720557655,0.8861085418593605,0.0,
abs,218,0.896465,2.2690213428015222,1.134510671400761,,,
norm,218,0.905555,2.1537440657598466,2.1822486507128604,0.8897,,5e-05
cqr,218,0.891295,1.9862689634784345,0.03837645771683884,0.8784091193160513,0.0,
abs,219,0.905115,2.34827557830058,1.1741377891502895,,,
norm,219,0.90352,2.1401124644870597,2.16843663657547,0.887625,,5e-05
cqr,219,0.908175,2.073125765768593,0.08180485886191802,0.8881083918706097,0.0,
abs,220,0.884985,2.16860569276686,1.0843028463834299,,,
norm,220,0.907295,2.166619005669407,2.195293989150385,0.891675,,5e-05
cqr,220,0.906795,2.065451480269672,0.07796771611245751,0.8871834612404069,0.0,
abs,221,0.889535,2.207085647204179,1.1035428236020888,,,
norm,221,0.88855,2.0417487722115224,2.0687711107778655,0.87215,,5e-05
cqr,221,0.89883,2.022696862734966,0.056590407345104454,0.8827587930905182,0.0,
abs,222,0.90016,2.303482510821196,1.1517412554105977,,,
norm,222,0.908925,2.1782425083454138,2.207071327709098,0.893325,,5e-05
cqr,222,0.89285,1.993330084530537,0.04190701824289017,0.8792090593205509,0.0,
abs,223,0.90385,2.3360355319959822,1.168017765997992,,,
norm,223,0.902615,2.134204098701043,2.16245007416565,0.886625,,5e-05
cqr,223,0.898865,2.0229115123642467,0.05669773215974483,0.8827837912156589,0.0,
abs,224,0.91255,2.426464886414694,1.2132324432073476,,,
norm,224,0.89217,2.0643721305541063,2.0916938869807473,0.876075,,5e-05
cqr,224,0.90346,2.0471910726114655,0.06883751228335444,0.8853086018548609,0.0,
abs,225,0.910515,2.406192470052842,1.2030962350264205,,,
norm,225,0.918025,2.2501153519824806,2.2798954011648966,0.90295,,5e-05
cqr,225,0.90402,2.0504805728831608,0.07048226241920186,0.8856835737319702,0.0,
abs,226,0.907205,2.3707494825321187,1.1853747412660587,,,
norm,226,0.90314,2.1374778893688458,2.1657671931219395,0.887225,,5e-05
cqr,226,0.904805,2.054824971870388,0.07265446191281538,0.8860835437342199,0.0,
abs,227,0.913515,2.436413152091637,1.218206576045818,,,
norm,227,0.910695,2.1927334586656304,2.221754064291675,0.89495,,5e-05
cqr,227,0.912,2.095683463207382,0.09308370758131237,0.8904332175086869,0.0,
abs,228,0.900635,2.3077802864107912,1.153890143205396,,,
norm,228,0.89844,2.105095124056904,2.1329558451851987,0.8825,,5e-05
cqr,228,0.888765,1.9739136072220007,0.03219877958862194,0.8764407330549792,0.0,
abs,229,0.90842,2.3835265412723476,1.1917632706361745,,,
norm,229,0.896075,2.090100365231813,2.117762632243124,0.880075,,5e-05
cqr,229,0.903185,2.0454716861355466,0.06797781904539496,0.8850836187285953,0.0,
abs,230,0.9004,2.3054709038752814,1.15273545193764,,,
norm,230,0.905695,2.1544234399015307,2.1829370163026205,0.889825,,5e-05
cqr,230,0.915345,2.116322716638542,0.10340333429689252,0.892633052521061,0.0,
abs,231,0.901565,2.3158526303863614,1.1579263151931813,,,
norm,231,0.892385,2.0656729177537434,2.093011889967454,0.87635,,5e-05
cqr,231,0.88589,1.9608158193900087,0.025649885672625494,0.8742905717928845,0.0,
abs,232,0.913965,2.441577248164854,1.2207886240824268,,,
norm,232,0.919735,2.2640271209900362,2.2939912910286986,0.904625,,5e-05
cqr,232,0.91743,2.13054878801431,0.11051636998477643,0.8940829437792166,0.0,
abs,233,0.89253,2.2349215884668605,1.1174607942334296,,,
norm,233,0.88469,2.0191202212216215,2.045843073203505,0.868325,,5e-05
cqr,233,0.87628,1.9203621901746015,0.005423071064922125,0.8677400805060379,0.0,
abs,234,0.88648,2.1815187491495345,1.0907593745747675,,,
norm,234,0.896525,2.0930668185495493,2.120768346270593,0.880525,,5e-05
cqr,234,0.89104,1.9851311695228226,0.037807560739032686,0.878234132440067,0.0,
abs,235,0.88733,2.187750271991805,1.0938751359959027,,,
norm,235,0.887955,2.0384062613756315,2.065384362149011,0.8716,,5e-05
cqr,235,0.89932,2.025078994667281,0.0577814733112621,0.8830587705922056,0.0,
abs,236,0.90913,2.3898594873626617,1.1949297436813304,,,
norm,236,0.903245,2.13821583780831,2.166514908234389,0.887325,,5e-05
cqr,236,0.898295,2.0197420659352483,0.05511300894524551,0.8823588230882684,0.0,
abs,237,0.899355,2.294928642742129,1.1474643213710647,,,
norm,237,0.914905,2.2247181630762607,2.2541620830313214,0.8996,,5e-05
cqr,237,0.897405,2.0157013424471053,0.0530926472011744,0.8816838737094718,0.0,
abs,238,0.909535,2.3946732808840867,1.1973366404420438,,,
norm,238,0.89684,2.094736220465474,2.1224598425520886,0.88075,,5e-05
cqr,238,0.89749,2.0160658705374903,0.05327491124636641,0.8817588680848937,0.0,
abs,239,0.882955,2.1511169161966586,1.0755584580983295,,,
norm,239,0.89013,2.0513514419366943,2.0785008708659585,0.87395,,5e-05
cqr,239,0.893935,1.9985387738724605,0.044511362913851715,0.8798590105742069,0.0,
abs,240,0.89618,2.266201339688927,1.1331006698444641,,,
norm,240,0.889435,2.0474513325032215,2.07454914387846,0.873175,,5e-05
cqr,240,0.89793,2.0180572570561495,0.05427060450569643,0.8820338474614404,0.0,
abs,241,0.89605,2.2652386584943565,1.1326193292471787,,,
norm,241,0.88729,2.0339330078820215,2.0608519055976875,0.870925,,5e-05
cqr,241,0.89951,2.0261359509805987,0.05830995146792073,0.8831087668424868,0.0,
abs,242,0.893735,2.2451914985827774,1.122595749291389,,,
norm,242,0.912965,2.2089586941372588,2.238194039114295,0.897275,,5e-05
cqr,242,0.907225,2.067731148187469,0.07910755007135606,0.8874334424918131,0.0,
abs,243,0.90581,2.355277971360671,1.1776389856803358,,,
norm,243,0.91065,2.192330603348749,2.2213458772254056,0.8949,,5e-05
cqr,243,0.90587,2.0602958281407218,0.07538989004798236,0.8866335024873134,0.0,
abs,244,0.887715,2.1916994992687298,1.0958497496343655,,,
norm,244,0.88589,2.0263356253725897,2.053153972498887,0.8696,,5e-05
cqr,244,0.887355,1.967129152715021,0.028806552335132296,0.8753156486736505,0.0,
abs,245,0.89483,2.254866246583944,1.127433123291972,,,
norm,245,0.90928,2.18082242625737,2.209685390573773,0.893675,,5e-05
cqr,245,0.90683,2.065769096351376,0.07812652415330934,0.8872084593655476,0.0,
abs,246,0.8969,2.2727137050456676,1.136356852522834,,,
norm,246,0.887215,2.0334804634925274,2.0603933718289533,0.87085,,5e-05
cqr,246,0.899795,2.027560143945416,0.059022047950329455,0.8832587555933304,0.0,
abs,247,0.89397,2.2470232641111374,1.1235116320555691,,,
norm,247,0.89696,2.0958411051295687,2.1235793502530007,0.880875,,5e-05
cqr,247,0.8987,2.0220245803444947,0.05625426614986884,0.8825838062145339,0.0,
abs,248,0.897515,2.278438431715493,1.1392192158577457,,,
