model,trial,coverage,width
constant,103,0.9083,3.0128588131341196
ridge,103,0.90648,2.232238807780411
rf,103,0.90073,1.7841617699426628
gbm,103,0.900625,1.7693976204787332
mlp,103,0.912525,1.9125056715613926
constant,104,0.899175,2.9456480406178924
ridge,104,0.899525,2.189389734288177
rf,104,0.89625,1.7607896530384122
gbm,104,0.889385,1.7129478529852569
mlp,104,0.898415,1.8309727770627258
constant,105,0.896835,2.929245419514829
ridge,105,0.894555,2.1600677407224826
rf,105,0.92143,1.9032362838673327
gbm,105,0.92855,1.9355156859608782
mlp,105,0.918575,1.9500800891107344
constant,106,0.89795,2.9371934903110866
ridge,106,0.88621,2.112765197067374
rf,106,0.89408,1.7498216127957598
gbm,106,0.8858,1.696539959918432
mlp,106,0.88339,1.7531534459767222
constant,107,0.889495,2.881188603719794
ridge,107,0.87222,2.0396117296697946
rf,107,0.899595,1.777898156755411
gbm,107,0.912485,1.8338022848244697
mlp,107,0.912435,1.9117684421448486
constant,108,0.88494,2.8527329640020183
ridge,108,0.883355,2.0972522286090234
rf,108,0.890315,1.7313951728635928
gbm,108,0.889905,1.7155383447841368
mlp,108,0.890445,1.7883144320722524
constant,109,0.90732,3.0049015658839684
ridge,109,0.896405,2.170695258985986
rf,109,0.905715,1.8115362222770643
gbm,109,0.899955,1.7661078347888406
mlp,109,0.907705,1.8832566714297314
constant,110,0.900585,2.956824569489717
ridge,110,0.92205,2.3385774280521736
rf,110,0.914435,1.8619243768291058
gbm,110,0.90654,1.8017994570821496
mlp,110,0.9033,1.8584026901164967
constant,111,0.89742,2.933446408224384
ridge,111,0.882425,2.0923074129063837
rf,111,0.903525,1.799779558601956
gbm,111,0.90723,1.8059616718744493
mlp,111,0.89104,1.7911686552444332
constant,112,0.862235,2.718167686476928
ridge,112,0.89546,2.164923863007054
rf,112,0.895735,1.758165030841083
gbm,112,0.88772,1.7052407170479624
mlp,112,0.881115,1.7416853784418758
constant,113,0.915965,3.0725681557434674
ridge,113,0.89888,2.185437212238177
rf,113,0.898935,1.7741046372176568
gbm,113,0.88894,1.710493011622799
mlp,113,0.905905,1.872765283967033
constant,114,0.91056,3.0308852820748395
ridge,114,0.904945,2.222265627698354
rf,114,0.92409,1.9197987282715938
gbm,114,0.911595,1.8292628152187023
mlp,114,0.91694,1.9389552749243313
constant,115,0.91912,3.1007176454355143
ridge,115,0.920605,2.328971732272657
rf,115,0.917355,1.8786820469649539
gbm,115,0.9107,1.8241482566378906
mlp,115,0.908035,1.8853897479932307
constant,116,0.899925,2.951696619225112
ridge,116,0.91705,2.3041109318797015
rf,116,0.918955,1.8883986073205965
gbm,116,0.910945,1.825530295582564
mlp,116,0.907175,1.8802539152407003
constant,117,0.898095,2.9382410361424482
ridge,117,0.87574,2.0568654886680466
rf,117,0.888775,1.723551973104047
gbm,117,0.882515,1.6799324156045399
mlp,117,0.896365,1.8195128248385266
constant,118,0.90235,2.9689582971638853
ridge,118,0.90007,2.1927581337022852
rf,118,0.909225,1.8316863500575455
gbm,118,0.90067,1.769616199616273
mlp,118,0.91362,1.919284339836893
constant,119,0.907665,3.007056508022413
ridge,119,0.91503,2.289817344457754
rf,119,0.916145,1.871694892598535
gbm,119,0.91547,1.8523196629328043
mlp,119,0.912555,1.9126545981012555
constant,120,0.90866,3.0158251317042923
ridge,120,0.90607,2.230012974154696
rf,120,0.901955,1.7908128969710013
gbm,120,0.908615,1.8130098652983
mlp,120,0.89265,1.799704337211369
constant,121,0.90952,3.0232916441723896
ridge,121,0.903135,2.2112915208379658
rf,121,0.90769,1.8232928602908394
gbm,121,0.902065,1.7769729769217297
mlp,121,0.92021,1.9608058550743286
constant,122,0.91345,3.0529806522266654
ridge,122,0.90717,2.2372183960707046
rf,122,0.89148,1.7373908869025039
gbm,122,0.89609,1.7471546040903316
mlp,122,0.89356,1.8039630571966168
constant,123,0.899635,2.9492727316553964
ridge,123,0.93309,2.423092540701816
rf,123,0.91749,1.8792068688288066
gbm,123,0.92058,1.883239992901289
mlp,123,0.9262,2.0018406749978293
constant,124,0.923495,3.1360088385170606
ridge,124,0.919495,2.3210790407210355
rf,124,0.919035,1.8887854189023041
gbm,124,0.923795,1.9039380667576913
mlp,124,0.91206,1.9094885592662016
constant,125,0.882995,2.8400167396919036
ridge,125,0.896915,2.173801478520093
rf,125,0.888445,1.7219528452384645
gbm,125,0.899055,1.7616347140513047
mlp,125,0.894395,1.8084016742859739
constant,126,0.88354,2.8432615953579043
ridge,126,0.895455,2.164869218845259
rf,126,0.89642,1.7617888530542376
gbm,126,0.89337,1.7330321093296925
mlp,126,0.901,1.8450465991277603
constant,127,0.901865,2.9656237048136016
ridge,127,0.90843,2.245065983018973
rf,127,0.91569,1.869014458444008
gbm,127,0.91441,1.845624059512314
mlp,127,0.91297,1.915457654814889
constant,128,0.91611,3.0737958906190457
ridge,128,0.89963,2.1899584410980144
rf,128,0.905065,1.8081275723562673
gbm,128,0.902675,1.7800117104072675
